Restaurant_ID,Restaurant_Name,City,Cuisines,Restaurant_Type,Rating,Votes,Approx_Cost_for_Two,Rating_Category,Cost_Category,Engagement_Score,Online_Order,Table_Booking
ZOM1000,Desi Zaika (Con),Delhi,Biryani,Delivery Only,4.1,865,220,Very Good (4.0-4.5),Budget (<300),27.73,Yes,No
ZOM1001,Spice Garden (MI ),Jaipur,Bengali,Dhaba,3.3,135,508,Average (2.5-3.5),Mid-range (300-700),16.21,Yes,No
ZOM1002,Food Junction (Jag),Jaipur,North Indian,Cafe,3.4,2396,1355,Average (2.5-3.5),Premium (700-1500),26.46,No,No
ZOM1003,Masala Magic (Ban),Mumbai,Biryani,Dhaba,4.1,1189,659,Very Good (4.0-4.5),Mid-range (300-700),29.04,Yes,No
ZOM1004,The Biryani Bowl (Con),Delhi,Continental,Quick Bites,2.0,4122,337,Poor (<2.5),Mid-range (300-700),16.65,Yes,No
ZOM1005,Urban Bites (Man),Ahmedabad,South Indian,Dhaba,4.1,194,762,Very Good (4.0-4.5),Premium (700-1500),21.62,Yes,No
ZOM1006,The Sandwich Shop (Con),Delhi,Gujarati,Cafe,3.3,1272,1046,Average (2.5-3.5),Premium (700-1500),23.59,Yes,No
ZOM1007,The Food Factory (Hin),Pune,Mexican,Bakery,3.8,2893,366,Good (3.5-4.0),Mid-range (300-700),30.29,Yes,No
ZOM1008,The Grill House (Sak),Delhi,Gujarati,Fine Dining,3.8,2440,3541,Good (3.5-4.0),Luxury (1500+),29.64,Yes,No
ZOM1009,Idli House (Par),Kolkata,Italian,Casual Dining,4.2,2617,1297,Very Good (4.0-4.5),Premium (700-1500),33.05,Yes,Yes
ZOM1010,Tikka Town (Sec),Hyderabad,Mexican,Dhaba,4.5,1483,234,Very Good (4.0-4.5),Budget (<300),32.86,No,No
ZOM1011,Chaat Corner (Sec),Hyderabad,Thai,Delivery Only,4.0,3157,761,Good (3.5-4.0),Premium (700-1500),32.23,No,No
ZOM1012,Urban Bites (Jub),Hyderabad,Thai,Food Court,3.4,3948,765,Average (2.5-3.5),Premium (700-1500),28.16,Yes,No
ZOM1013,Green Leaf Cafe (Kot),Pune,South Indian,Dhaba,4.8,1505,601,Excellent (4.5+),Mid-range (300-700),35.12,No,No
ZOM1014,The Sandwich Shop (Dwa),Delhi,Thai,Delivery Only,4.2,166,470,Very Good (4.0-4.5),Mid-range (300-700),21.5,Yes,No
ZOM1015,Saffron Kitchen (HSR),Bangalore,North Indian,Delivery Only,3.6,342,252,Good (3.5-4.0),Budget (<300),21.02,Yes,No
ZOM1016,The Biryani Bowl (Jag),Jaipur,Italian,Fine Dining,3.8,3998,1992,Good (3.5-4.0),Luxury (1500+),31.52,Yes,Yes
ZOM1017,Tikka Town (Nav),Ahmedabad,South Indian,Bakery,4.0,2067,264,Good (3.5-4.0),Budget (<300),30.54,Yes,No
ZOM1018,Dosa Point (Haz),Lucknow,South Indian,Food Court,4.1,2032,618,Very Good (4.0-4.5),Mid-range (300-700),31.23,Yes,No
ZOM1019,Saffron Kitchen (Man),Ahmedabad,Chinese,Delivery Only,3.1,4479,689,Average (2.5-3.5),Mid-range (300-700),26.06,No,No
ZOM1020,Burger House (Vel),Chennai,Gujarati,Bakery,4.2,2283,400,Very Good (4.0-4.5),Mid-range (300-700),32.48,No,No
ZOM1021,Punjabi Tadka (Laj),Delhi,North Indian,Cafe,3.9,4880,1329,Good (3.5-4.0),Premium (700-1500),33.12,Yes,No
ZOM1022,Urban Bites (Ban),Hyderabad,North Indian,Bakery,2.9,4603,298,Average (2.5-3.5),Budget (<300),24.46,Yes,No
ZOM1023,Desi Zaika (Mad),Hyderabad,Chinese,Food Court,2.9,2778,746,Average (2.5-3.5),Premium (700-1500),23.0,No,No
ZOM1024,The Pizza Place (Dwa),Delhi,Continental,Bakery,4.0,2695,597,Good (3.5-4.0),Mid-range (300-700),31.6,No,No
ZOM1025,Idli House (Con),Delhi,Continental,Bakery,4.8,875,592,Excellent (4.5+),Mid-range (300-700),32.52,Yes,No
ZOM1026,The Food Factory (Civ),Jaipur,Chinese,Dhaba,3.8,1489,440,Good (3.5-4.0),Mid-range (300-700),27.76,Yes,No
ZOM1027,Olive Garden (Man),Ahmedabad,South Indian,Casual Dining,3.6,4196,884,Good (3.5-4.0),Premium (700-1500),30.03,Yes,Yes
ZOM1028,Tikka Town (Pra),Ahmedabad,Italian,Dhaba,3.1,1683,359,Average (2.5-3.5),Mid-range (300-700),23.03,Yes,No
