Restaurant_ID,Restaurant_Name,City,Locality,Cuisines,Restaurant_Type,Online_Order,Table_Booking,Rating,Votes,Approx_Cost_for_Two,Listed_In,Has_Parking,Is_Newly_Opened,Delivery_Time_mins,Rating_Category,Cost_Category,Engagement_Score
ZOM1000,Desi Zaika (Con),Delhi,Connaught Place,Biryani,Delivery Only,Yes,No,4.1,865,220,Dine-out,No,Yes,43,Very Good (4.0-4.5),Budget (<300),27.73
ZOM1001,Spice Garden (MI ),Jaipur,MI Road,Bengali,Dhaba,Yes,No,3.3,135,508,Delivery,Yes,No,21,Average (2.5-3.5),Mid-range (300-700),16.21
ZOM1002,Food Junction (Jag),Jaipur,Jagatpura,North Indian,Cafe,No,No,3.4,2396,1355,Dine-out,No,No,0,Average (2.5-3.5),Premium (700-1500),26.46
ZOM1003,Masala Magic (Ban),Mumbai,Bandra,Biryani,Dhaba,Yes,No,4.1,1189,659,Dine-out,Yes,No,77,Very Good (4.0-4.5),Mid-range (300-700),29.04
ZOM1004,The Biryani Bowl (Con),Delhi,Connaught Place,Continental,Quick Bites,Yes,No,2.0,4122,337,Pubs and Bars,No,Yes,34,Poor (<2.5),Mid-range (300-700),16.65
ZOM1005,Urban Bites (Man),Ahmedabad,Maninagar,South Indian,Dhaba,Yes,No,4.1,194,762,Pubs and Bars,No,No,74,Very Good (4.0-4.5),Premium (700-1500),21.62
ZOM1006,The Sandwich Shop (Con),Delhi,Connaught Place,Gujarati,Cafe,Yes,No,3.3,1272,1046,Delivery,Yes,Yes,40,Average (2.5-3.5),Premium (700-1500),23.59
ZOM1007,The Food Factory (Hin),Pune,Hinjewadi,Mexican,Bakery,Yes,No,3.8,2893,366,Dine-out,Yes,No,37,Good (3.5-4.0),Mid-range (300-700),30.29
ZOM1008,The Grill House (Sak),Delhi,Saket,Gujarati,Fine Dining,Yes,No,3.8,2440,3541,Desserts,No,No,28,Good (3.5-4.0),Luxury (1500+),29.64
ZOM1009,Idli House (Par),Kolkata,Park Street,Italian,Casual Dining,Yes,Yes,4.2,2617,1297,Delivery,Yes,No,79,Very Good (4.0-4.5),Premium (700-1500),33.05
ZOM1010,Tikka Town (Sec),Hyderabad,Secunderabad,Mexican,Dhaba,No,No,4.5,1483,234,Dine-out,No,No,0,Very Good (4.0-4.5),Budget (<300),32.86
ZOM1011,Chaat Corner (Sec),Hyderabad,Secunderabad,Thai,Delivery Only,No,No,4.0,3157,761,Pubs and Bars,No,No,0,Good (3.5-4.0),Premium (700-1500),32.23
ZOM1012,Urban Bites (Jub),Hyderabad,Jubilee Hills,Thai,Food Court,Yes,No,3.4,3948,765,Delivery,Yes,No,23,Average (2.5-3.5),Premium (700-1500),28.16
ZOM1013,Green Leaf Cafe (Kot),Pune,Kothrud,South Indian,Dhaba,No,No,4.8,1505,601,Pubs and Bars,No,Yes,0,Excellent (4.5+),Mid-range (300-700),35.12
ZOM1014,The Sandwich Shop (Dwa),Delhi,Dwarka,Thai,Delivery Only,Yes,No,4.2,166,470,Delivery,No,No,81,Very Good (4.0-4.5),Mid-range (300-700),21.5
ZOM1015,Saffron Kitchen (HSR),Bangalore,HSR Layout,North Indian,Delivery Only,Yes,No,3.6,342,252,Pubs and Bars,Yes,No,43,Good (3.5-4.0),Budget (<300),21.02
ZOM1016,The Biryani Bowl (Jag),Jaipur,Jagatpura,Italian,Fine Dining,Yes,Yes,3.8,3998,1992,Pubs and Bars,Yes,No,60,Good (3.5-4.0),Luxury (1500+),31.52
ZOM1017,Tikka Town (Nav),Ahmedabad,Navrangpura,South Indian,Bakery,Yes,No,4.0,2067,264,Dine-out,Yes,No,28,Good (3.5-4.0),Budget (<300),30.54
ZOM1018,Dosa Point (Haz),Lucknow,Hazratganj,South Indian,Food Court,Yes,No,4.1,2032,618,Pubs and Bars,Yes,No,52,Very Good (4.0-4.5),Mid-range (300-700),31.23
ZOM1019,Saffron Kitchen (Man),Ahmedabad,Maninagar,Chinese,Delivery Only,No,No,3.1,4479,689,Dine-out,No,No,0,Average (2.5-3.5),Mid-range (300-700),26.06
ZOM1020,Burger House (Vel),Chennai,Velachery,Gujarati,Bakery,No,No,4.2,2283,400,Delivery,Yes,No,0,Very Good (4.0-4.5),Mid-range (300-700),32.48
ZOM1021,Punjabi Tadka (Laj),Delhi,Lajpat Nagar,North Indian,Cafe,Yes,No,3.9,4880,1329,Delivery,Yes,Yes,52,Good (3.5-4.0),Premium (700-1500),33.12
ZOM1022,Urban Bites (Ban),Hyderabad,Banjara Hills,North Indian,Bakery,Yes,No,2.9,4603,298,Dine-out,No,No,63,Average (2.5-3.5),Budget (<300),24.46
ZOM1023,Desi Zaika (Mad),Hyderabad,Madhapur,Chinese,Food Court,No,No,2.9,2778,746,Desserts,Yes,Yes,0,Average (2.5-3.5),Premium (700-1500),23.0
ZOM1024,The Pizza Place (Dwa),Delhi,Dwarka,Continental,Bakery,No,No,4.0,2695,597,Desserts,No,Yes,0,Good (3.5-4.0),Mid-range (300-700),31.6
ZOM1025,Idli House (Con),Delhi,Connaught Place,Continental,Bakery,Yes,No,4.8,875,592,Dine-out,Yes,No,34,Excellent (4.5+),Mid-range (300-700),32.52
ZOM1026,The Food Factory (Civ),Jaipur,Civil Lines,Chinese,Dhaba,Yes,No,3.8,1489,440,Desserts,Yes,Yes,71,Good (3.5-4.0),Mid-range (300-700),27.76
ZOM1027,Olive Garden (Man),Ahmedabad,Maninagar,South Indian,Casual Dining,Yes,Yes,3.6,4196,884,Dine-out,Yes,No,42,Good (3.5-4.0),Premium (700-1500),30.03
ZOM1028,Tikka Town (Pra),Ahmedabad,Prahlad Nagar,Italian,Dhaba,Yes,No,3.1,1683,359,Dine-out,No,Yes,78,Average (2.5-3.5),Mid-range (300-700),23.03
ZOM1029,The Pizza Place (Hin),Pune,Hinjewadi,Mexican,Delivery Only,No,No,4.2,3319,285,Dine-out,Yes,No,0,Very Good (4.0-4.5),Budget (<300),34.05
ZOM1030,Chaat Corner (Ban),Hyderabad,Banjara Hills,Bengali,Casual Dining,Yes,No,2.7,2630,1412,Pubs and Bars,No,No,25,Average (2.5-3.5),Premium (700-1500),21.26
ZOM1031,Urban Bites (Dad),Mumbai,Dadar,South Indian,Fine Dining,Yes,Yes,4.3,4896,2551,Dine-out,No,Yes,63,Very Good (4.0-4.5),Luxury (1500+),36.53
ZOM1032,South Kitchen (Gom),Lucknow,Gomti Nagar,Bengali,Casual Dining,Yes,Yes,3.8,1368,589,Pubs and Bars,No,No,20,Good (3.5-4.0),Mid-range (300-700),27.44
ZOM1033,Desi Zaika (T N),Chennai,T Nagar,Gujarati,Bakery,Yes,No,4.4,1311,458,Desserts,Yes,No,89,Very Good (4.0-4.5),Mid-range (300-700),31.59
