Rank,Restaurant_ID,Restaurant_Name,City,Locality,Cuisines,Restaurant_Type,Rating,Votes,Approx_Cost_for_Two,Online_Order,Engagement_Score
1,ZOM1078,Masala Magic (Vas),Ahmedabad,Vastrapur,Mughlai,Delivery Only,5.0,4934,250,Yes,42.52
2,ZOM1034,Burger House (SG ),Ahmedabad,SG Highway,South Indian,Casual Dining,5.0,4749,1083,Yes,42.33
3,ZOM1724,Masala Magic (Vas),Ahmedabad,Vastrapur,Thai,Casual Dining,5.0,4633,1209,Yes,42.21
4,ZOM1250,Flavors Restaurant (Jay),Bangalore,Jayanagar,Mexican,Delivery Only,5.0,4621,558,Yes,42.19
5,ZOM1326,Royal Feast (Par),Kolkata,Park Street,Italian,Delivery Only,5.0,4574,580,Yes,42.14
6,ZOM1060,The Curry House (Civ),Jaipur,Civil Lines,Gujarati,Cafe,5.0,4560,1445,No,42.13
7,ZOM1346,Chaat Corner (Kor),Bangalore,Koramangala,Continental,Delivery Only,5.0,4438,743,Yes,41.99
8,ZOM1776,The Food Factory (Pra),Ahmedabad,Prahlad Nagar,Chinese,Dhaba,5.0,4110,526,Yes,41.61
9,ZOM1836,Idli House (Dwa),Delhi,Dwarka,Thai,Food Court,4.9,4878,713,No,41.61
10,ZOM1854,Saffron Kitchen (Ali),Lucknow,Aliganj,Gujarati,Casual Dining,4.9,4744,1314,Yes,41.48
11,ZOM1335,The Kebab Studio (Sec),Hyderabad,Secunderabad,Bengali,Bakery,4.9,4670,726,No,41.4
12,ZOM1813,Dosa Point (Sak),Delhi,Saket,Bengali,Bakery,5.0,3925,673,Yes,41.38
13,ZOM1842,Dosa Point (Dad),Mumbai,Dadar,North Indian,Fine Dining,5.0,3854,4897,Yes,41.29
14,ZOM1201,Olive Garden (Ali),Kolkata,Alipore,Continental,Delivery Only,5.0,3767,621,Yes,41.17
15,ZOM1619,Bombay Bites (Kor),Pune,Koregaon Park,Biryani,Casual Dining,5.0,3664,573,Yes,41.03
16,ZOM1132,Bombay Bites (Hau),Delhi,Hauz Khas,North Indian,Casual Dining,5.0,3517,1055,No,40.83
17,ZOM1435,The Curry House (Vim),Pune,Viman Nagar,Mughlai,Food Court,4.8,4844,552,Yes,40.73
18,ZOM1509,Bombay Bites (Mal),Jaipur,Malviya Nagar,Gujarati,Fine Dining,4.8,4763,3783,Yes,40.65
19,ZOM1921,The Grill House (MI ),Jaipur,MI Road,Continental,Bakery,5.0,3390,699,Yes,40.64
20,ZOM1468,Tikka Town (HSR),Bangalore,HSR Layout,Mexican,Quick Bites,4.8,4742,205,No,40.63
21,ZOM1543,South Kitchen (Civ),Jaipur,Civil Lines,Bengali,Bakery,4.9,3925,762,Yes,40.55
